Physical_activity,free_programs,"3. In the past year have you visited a library branch, accessed the library online or contacted the library by telephone?",frequency_internet,participation_volunteer,TTC,Walk,Drive,Cycle,Taxi,Community program,Wheel-Trans,Rides from others,Frequently_use_TTC,Other services,Driving is faster,Prefer driving,Not affordable,Distance,Stations not accessible,Vehicles not accessible,Crowded,Announcement hard to hear,Not safe,Major repairs,Accessible modification,No,difficulty,10. Which term(s) do you prefer when referring to people aged 65 and older? [Elders],10. Which term(s) do you prefer when referring to people aged 65 and older? [Mature Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Persons],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Residents],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Torontonians],10. Which term(s) do you prefer when referring to people aged 65 and older? [Senior Citizens],10. Which term(s) do you prefer when referring to people aged 65 and older? [Seniors],Accessibility,Civic Engagement,Communication and Information,Food Access,Health Care and Home Care Services,Housing Affordability and Availability,Income and Employment,Recreation and Community Services,Respect and Social Inclusion,Safety and Security,Transportation Issues,City of Toronto website,Internet search engine,Calling 311,Calling 211,Local ward councillor,Service directory,"Posters, etc.",Workers in community,Faith group,Word of mouth,people_help,14. What are the first three characters of your postal code?,employment_status,gender,16. What is your sex/gender? [other],Understand spoken English,Speak,Read,None,service_language,18. In what language(s) would you feel most comfortable to receive services? [other],age_group
At least once a day,Yes,No,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L4J,Retired,Female,NA,NA,1,1,NA,English,NA,85 years or older
At least a few times each week,No,Yes,At least a few times a week,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,Yes,L4J,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a month,No,No,At least once a day,Never,NA,NA,NA,NA,NA,NA,1,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Yes,L4J,Retired,Female,NA,NA,1,1,NA,English,NA,85 years or older
At least once a week,No,Yes,At least once a day,Never,NA,NA,NA,NA,NA,NA,1,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,Yes,L4J,Retired,Female,NA,NA,NA,1,NA,English,NA,85 years or older
At least once a day,Yes,No,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,1,Yes,L4J,Employed full-time,Female,NA,1,1,1,NA,English,NA,55-59 years
At least a few times each week,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,1,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,Yes,l4j,Employed full-time,Female,NA,1,NA,NA,NA,English,NA,Less than 54 years
At least once a week,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,L4J,Employed full-time,Female,NA,1,1,1,NA,English,NA,55-59 years
At least once a week,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L4J,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,No,Yes,At least once a day,At least a few times a week,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,l4j,Employed part-time,Transgender,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,Yes,No,At least a few times a week,Never,1,1,1,1,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,1,1,1,1,Yes,l4j,Employed full-time,Female,NA,1,1,1,NA,NA,NA,55-59 years
At least once a week,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L4j,Employed full-time,Male,NA,1,1,1,NA,Spanish,NA,60-64 years
At least once a day,No,No,At least once a day,At least once a day,NA,NA,1,NA,1,NA,NA,1,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,NA,Yes,L4JJ,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,No,L4K,Retired,Female,NA,1,1,NA,NA,Spanish,NA,75-79 years
At least a few times each week,Yes,No,Never,Never,NA,NA,NA,NA,NA,NA,1,1,No,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,Yes,L4L,Retired,Female,NA,1,1,1,NA,Italian,NA,65-69 years
At least once a day,No,No,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,L4L,Employed full-time,Female,NA,1,1,1,NA,Dari,NA,Less than 54 years
At least once a day,No,Yes,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,Yes,L4P,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,No,No,Never,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,L4T,Retired,Male,NA,1,1,1,NA,English,NA,70-74 years
At least a few times each week,No,No,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,No,L4W,Retired,Female,NA,NA,1,1,NA,English,NA,85 years or older
At least once a week,Yes,No,At least a few times a week,At least once a month,NA,NA,NA,NA,NA,NA,1,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,Yes,l4w,Retired,Male,NA,1,1,NA,NA,Chinese (Cantonese),NA,80-84 years
At least a few times each week,Yes,No,At least once a day,At least once a month,1,NA,1,NA,NA,NA,NA,NA,No,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L4W,Retired,Female,NA,1,1,1,NA,English,NA,55-59 years
At least a few times each week,Yes,Yes,At least once a day,At least once a week,NA,1,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Yes,L4X,Retired,Female,NA,1,1,1,NA,Other,German,75-79 years
At least a few times each week,Yes,Yes,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L4X,Unable to work for health or other reasons,Female,NA,NA,1,NA,NA,Spanish,NA,Less than 54 years
At least once a day,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,Yes,L4Y,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,Yes,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Yes,L4Y,Employed part-time,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a week,No,No,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,No,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,No,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,Yes,L4Y,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
Never,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,L4Z,"Unemployed, looking for work",Male,NA,1,NA,NA,NA,English,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,Yes,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,Yes,L5A,Employed part-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,Yes,L5A,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L5B,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L5G,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,Yes,Yes,At least once a day,At least a few times a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,L5K,Employed full-time,Male,NA,NA,1,1,NA,English,NA,55-59 years
At least a few times each week,No,Yes,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,l5l,Employed full-time,Female,NA,1,1,1,NA,Chinese (Mandarin),NA,Less than 54 years
At least a few times each week,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L5M,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least a few times each week,Yes,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L5M,Employed full-time,Male,NA,1,1,1,NA,Spanish,NA,70-74 years
Never,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L5N,Employed full-time,Male,NA,1,1,1,NA,English,NA,55-59 years
At least a few times each week,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,Yes,L5N,Retired,Male,NA,1,1,1,NA,Other,Igbo,70-74 years
At least once a day,Yes,Yes,At least once a day,At least once a day,NA,1,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,Yes,L5N,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,Yes,Yes,At least once a day,At least once a day,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,Yes,l5r,Retired,Male,NA,1,1,1,NA,Spanish,NA,75-79 years
At least once a day,No,No,At least a few times a week,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L5R,Unable to work for health or other reasons,Female,NA,1,1,1,NA,English,NA,60-64 years
Never,Yes,Yes,At least a few times a week,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,l5R,Employed full-time,Female,NA,1,1,1,NA,NA,NA,Less than 54 years
At least once a day,No,Yes,At least once a day,At least once a week,NA,1,NA,NA,NA,NA,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Yes,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Yes,L5V,Employed full-time,Female,NA,1,1,1,NA,English,NA,55-59 years
At least once a day,No,No,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,NA,1,1,1,1,1,1,Yes,L5V,Employed full-time,Female,NA,1,1,1,NA,Tagalog,NA,60-64 years
At least once a day,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L5W,Employed full-time,Female,NA,1,1,1,NA,NA,NA,Less than 54 years
At least once a week,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,No,L6A,Employed part-time,Female,NA,1,1,1,NA,Chinese (Cantonese),NA,65-69 years
At least a few times each week,No,Yes,At least once a day,Never,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Yes,L6B,Unable to work for health or other reasons,Female,NA,1,NA,NA,NA,English,NA,85 years or older
At least a few times each week,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L6C,Employed full-time,Female,NA,NA,1,NA,NA,Chinese (Mandarin),NA,Less than 54 years
At least once a day,Yes,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,1,Yes,L6C,Employed full-time,Female,NA,1,NA,1,NA,Chinese (Cantonese),NA,55-59 years
At least once a week,Yes,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Yes,L6C,Employed full-time,Female,NA,1,1,1,NA,English,NA,55-59 years
At least a few times each week,Yes,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,l6E,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a week,Yes,No,At least once a day,At least once a day,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,Yes,L6E,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a week,No,No,At least once a week,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,l6g,Retired,Female,NA,1,NA,NA,NA,Chinese (Cantonese),NA,70-74 years
At least a few times each week,No,Yes,At least once a day,At least once a month,NA,1,1,NA,NA,NA,NA,NA,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,Yes,L6H,Employed full-time,Male,NA,1,1,1,NA,English,NA,60-64 years
At least a few times each week,No,Yes,At least a few times a week,Never,1,1,1,NA,NA,NA,NA,NA,No,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,Yes,L6m,Retired,Male,NA,1,1,1,NA,Other,German,80-84 years
At least once a day,No,No,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L6R,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,No,No,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,Yes,L6R,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,No,No,Never,Never,NA,NA,1,NA,NA,NA,NA,NA,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,L6S,Retired,Male,NA,NA,1,1,NA,English,NA,80-84 years
At least once a day,No,No,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L6S,Employed part-time,Male,NA,NA,1,1,NA,English,NA,70-74 years
At least a few times each week,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,l6x,Employed full-time,Male,NA,1,NA,NA,NA,English,NA,Less than 54 years
At least a few times each week,No,No,Never,At least once a month,1,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,No,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L6X,Employed full-time,Female,NA,NA,1,1,NA,Tagalog,NA,65-69 years
At least once a month,No,No,Never,Never,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L8W,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a day,No,No,At least once a day,At least once a week,1,1,1,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L9H,Employed full-time,Male,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,L9M,Unable to work for health or other reasons,Female,NA,1,NA,NA,NA,Spanish,NA,55-59 years
At least a few times each week,Yes,Yes,At least once a day,At least once a month,NA,1,1,1,NA,NA,NA,NA,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,Yes,LoH,Employed full-time,Male,NA,1,1,1,NA,English,NA,55-59 years
